source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist,dist_error,pm_scalar,pm_scalar_error,rad_v,rad_v_error,finra,findec,findist,tang_v,true_v,radial_velocity
3.41E+18,70.71263138,0.048836119,19.48701194,0.031657747,88.88463384,0.109899361,-36.30664551,0.054647919,20.59770887,0.062537036,13.733859,15.246647,12.533936,48.54908894,15990.52439,0.096013804,0.020287693,35.5692185,0.211321562,95.40280745,9.401832632,84.90207517,22.09495415,41.87309761,35.5692185
3.30E+18,71.72077185,0.035449673,12.88377407,0.020083437,88.9545525,0.090896488,-18.57466005,0.044625628,20.61960944,0.04537083,13.831421,15.412242,12.60884,48.49752383,22040.59309,0.090873156,0.028729881,33.62906052,0.316161323,96.43036977,7.724146273,82.8676007,20.88976316,39.58908834,33.62906052
5.26E+16,62.65674079,0.141013655,21.60250291,0.065614375,114.9947235,0.230197386,-40.71718896,0.173413747,20.65939445,0.161256769,16.32411,18.459776,14.937165,48.40412928,6201.290065,0.121990475,0.03857654,45.05758323,0.316322161,94.59971953,10.29217265,94.45455636,27.98895442,53.04307095,45.05758323
4.78E+16,65.05887516,0.155477954,18.70197202,0.076102229,104.7292644,0.310000346,-31.90232317,0.227404646,20.68403411,0.16565537,17.412321,19.924942,15.93593,48.34646834,6036.628937,0.109480487,0.070499386,40.38880801,0.643994563,94.15033751,9.840215581,89.62524373,25.08879584,47.54685572,40.38880801
3.30E+18,75.08111517,0.17702546,12.12609134,0.137027655,98.48618976,0.321239148,-16.99160435,0.215110794,20.72630146,0.214057328,17.885115,20.330101,16.353153,48.24787489,4671.645719,0.099941204,0.130809611,36.79445083,1.308906419,102.4383901,7.406201245,85.85309145,22.85604628,43.31547603,36.79445083
3.39E+18,74.49114491,0.05311943,14.45190133,0.041118059,78.78516935,0.10656316,-24.47165833,0.075149796,20.73384437,0.062165648,14.397709,16.078634,13.139265,48.23032246,16086.05438,0.082498273,0.040674412,30.36159485,0.493042615,96.37591417,7.654218461,79.26093506,18.86007268,35.74253465,30.36159485
3.31E+18,64.55460945,0.066400603,16.0980273,0.041728056,106.8038558,0.147786198,-23.8496477,0.11053234,20.73418006,0.076223494,14.774393,16.561111,13.488154,48.22954162,13119.31472,0.109434315,0.044197326,40.27413472,0.403887544,94.22234716,9.473125165,89.39111689,25.01756287,47.41185905,40.27413472
3.39E+18,74.88596773,0.458141688,13.08182562,0.305394025,80.35483415,1.141683019,-20.54949727,0.647767899,20.74041611,0.495633767,19.15119,20.956118,17.50408,48.21504037,2017.618789,0.08294083,0.416879845,30.51479593,5.026288724,97.206755,7.373631933,79.40222983,18.95523841,35.92288733,30.51479593
3.31E+18,71.38815776,0.184025545,15.05062609,0.113767385,83.86946712,0.415376788,-23.24059155,0.248210974,20.76967868,0.229991948,18.129725,20.740047,16.58154,48.14710981,4347.978311,0.087029952,0.135269914,31.9741147,1.554330926,94.68523196,8.594906213,80.82577412,19.8617408,37.64083897,31.9741147
1.53E+17,72.82891299,0.083507722,25.94228594,0.054787315,85.63298867,0.178831619,-57.74695442,0.09189059,20.77047905,0.096615971,15.613754,17.848635,14.22411,48.14525451,10350.25567,0.103284653,0.025420172,37.94450056,0.246161568,96.61585429,9.901465264,86.92586214,23.57043633,44.66934734,37.94450056
3.31E+18,64.6765147,0.091806007,12.51064011,0.052868314,109.8700421,0.167768419,-12.28292285,0.13632917,20.78314866,0.108551206,14.145566,15.838969,12.886623,48.11590468,9212.242217,0.110554495,0.101340316,40.59052055,0.916669748,95.19597083,9.098717099,89.60083735,25.21409602,47.78431747,40.59052055
3.41E+18,72.248687,0.323667199,15.60473929,0.206131291,90.05195633,0.700306817,-22.67887933,0.398394923,20.81699426,0.369406188,14.181833,16.002985,12.888998,48.03767478,2707.047234,0.092863806,0.206874621,34.03987963,2.227791358,97.26311932,9.305050586,82.82762316,21.14495655,40.07271631,34.03987963
1.51E+17,67.44734008,0.256565179,25.48831987,0.177323951,98.04464728,0.660510437,-52.22464739,0.453524698,20.82624125,0.317236106,18.287458,21.14559,16.745016,48.01634572,3152.226309,0.111086303,0.098939718,40.70138407,0.890786568,94.68196432,10.98147338,89.61458479,25.28296242,47.91482917,40.70138407
3.41E+18,73.99612637,0.279784978,21.66666638,0.162309384,77.28231348,0.62621201,-44.65948032,0.329474199,20.83781598,0.322091401,18.766426,21.256104,17.13095,47.9896742,3104.708777,0.089258194,0.122770816,32.68552433,1.375543946,95.46343567,9.26125518,81.39542406,20.30365557,38.47833066,32.68552433
3.41E+18,72.6791388,0.082648302,19.30404511,0.052333773,85.18946507,0.162450392,-40.23157067,0.096830323,20.86936082,0.10645592,15.481022,17.399189,14.151897,47.91713597,9393.559336,0.094211593,0.032593634,34.44726605,0.345999638,96.3428791,8.12860881,83.12344752,21.39801761,40.55230321,34.44726605
3.31E+18,69.74411994,0.106681869,15.66135051,0.055313776,93.36000883,0.263790338,-23.2392134,0.112408804,20.89446363,0.144565975,16.750904,18.993425,15.33027,47.85956787,6917.256981,0.096208899,0.058225623,35.13529295,0.605239517,95.67745573,9.206013459,83.769067,21.82540746,41.36226809,35.13529295
3.31E+18,67.16467118,0.055814745,16.96990972,0.025616178,102.6918618,0.114683102,-26.88532263,0.06810181,20.89519415,0.056655967,14.074879,13.912569,14.28804,47.85789462,17650.39166,0.106152904,0.026078454,38.76546784,0.24568374,95.69018835,9.501764543,87.47755955,24.08040633,45.63581341,38.76546784
1.47E+17,72.97271267,0.080603289,24.60988528,0.047956789,86.44522326,0.152673656,-55.10285722,0.084368187,20.9161258,0.09329272,15.845406,17.857868,14.495566,47.81000122,10718.95002,0.102513909,0.022800936,37.39909631,0.222462697,96.98527468,9.303536052,86.03318662,23.2316411,44.02728192,37.39909631
3.31E+18,69.61595116,0.126751244,16.00291286,0.063327373,98.4903104,0.37041909,-25.42492829,0.146259247,20.91725869,0.157383707,17.04982,19.359316,15.60448,47.80741181,6353.897868,0.101719065,0.067567799,37.10711183,0.664301557,96.97437071,8.940432781,85.73217885,23.05026563,43.68354947,37.10711183
3.31E+18,69.38445694,0.116712263,16.75856973,0.058454988,98.72837883,0.250838228,-29.63670602,0.149498675,20.94013371,0.142903276,14.529086,15.995663,12.802084,47.75518695,6997.740228,0.103080683,0.054792828,37.56275138,0.531596631,96.80900661,8.526151396,86.14563356,23.33330066,44.21994133,37.56275138
3.31E+18,68.03365043,0.062127814,17.66434832,0.029640031,99.60280138,0.120230295,-30.54717367,0.081340656,20.95368966,0.076016364,14.008977,15.555882,12.713557,47.72429182,13155.06223,0.104181802,0.028062628,37.93944014,0.269386526,95.70109526,9.179022302,86.49972752,23.56729289,44.66339006,37.93944014
1.45E+17,69.27171619,0.184873005,22.85712815,0.096691216,95.66894614,0.456774747,-46.24865251,0.226611379,20.9860466,0.214618542,17.346539,19.806028,15.869453,47.65070902,4659.429661,0.1062614,0.064382701,38.63709455,0.60597613,95.84642345,10.01028023,87.13917194,24.00066317,45.48468871,38.63709455
3.31E+18,69.54441639,0.057051046,15.82138664,0.02806177,97.23480115,0.135983543,-26.59290214,0.064137898,20.99969682,0.068870425,14.414691,16.086891,13.163978,47.61973511,14520.02079,0.100805699,0.027656923,36.62955326,0.274378324,96.55408338,8.434469379,85.05642057,22.75361489,43.12135391,36.62955326
